Day,Hour,Base_Load_W
13,22,2649.4
13,23,2527.7
13,24,2357.0
14,1,2240.8
14,2,2112.1
14,3,2058.2
14,4,2054.8
14,5,2018.9
14,6,2094.8
14,7,2150.8
14,8,2191.1
14,9,2436.8
14,10,2685.1
14,11,2754.2
14,12,2789.9
14,13,2721.5
14,14,2618.1
14,15,2763.6
14,16,2898.4
14,17,3022.5
14,18,3160.0
14,19,3218.5
14,20,3183.4
14,21,3146.8
14,22,2960.8
14,23,2782.9
14,24,2498.3
15,1,2230.6
15,2,2095.4
15,3,2063.9
15,4,2051.6
15,5,2079.7
15,6,2115.5
15,7,2437.0
15,8,2781.4
15,9,2644.0
15,10,2504.0
15,11,2395.8
15,12,2310.5
15,13,2209.1
15,14,2168.4
15,15,2235.0
15,16,2345.3
15,17,2720.6
15,18,2920.8
15,19,2968.1
15,20,2893.1
15,21,2863.6
15,22,2882.3
15,23,2733.8
15,24,2287.4
16,1,2038.7
16,2,1933.9
16,3,1807.7
16,4,1838.5
16,5,1862.9
16,6,1921.5
16,7,2234.2
16,8,2589.3
16,9,2487.8
16,10,2371.2
16,11,2223.9
16,12,2138.8
16,13,2161.0
16,14,2101.3
16,15,2181.0
16,16,2340.4
16,17,2685.5
16,18,2917.0
16,19,2938.4
16,20,2811.1
16,21,2814.4
16,22,2879.1
16,23,2746.4
16,24,2376.7
17,1,2131.4
17,2,2017.9
17,3,1993.7
17,4,1978.7
17,5,1997.0
17,6,2072.7
17,7,2393.3
17,8,2725.2
17,9,2647.6
17,10,2516.3
17,11,2392.7
17,12,2276.4
17,13,2176.3
17,14,2192.8
17,15,2194.7
17,16,2331.3
17,17,2707.9
17,18,3009.5
17,19,3028.0
17,20,3022.2
17,21,2979.3
17,22,2984.9
17,23,2869.9
17,24,2542.1
18,1,2253.7
18,2,2142.2
18,3,2114.9
18,4,2092.2
18,5,2147.9
18,6,2177.9
18,7,2511.9
18,8,2813.3
18,9,2745.6
18,10,2565.7
18,11,2504.5
18,12,2390.1
18,13,2383.5
18,14,2430.4
18,15,2490.2
18,16,2638.5
18,17,2895.5
18,18,3104.2
18,19,3070.5
18,20,3038.1
18,21,3041.7
18,22,2955.6
18,23,2827.0
18,24,2521.5
19,1,2194.5
19,2,2037.0
19,3,1998.3
19,4,2018.9
19,5,2056.4
19,6,2097.7
19,7,2429.0
19,8,2761.1
19,9,2685.1
19,10,2540.6
19,11,2470.5
19,12,2358.6
19,13,2330.2
19,14,2264.8
19,15,2316.9
19,16,2406.1
19,17,2681.9
19,18,2842.1
19,19,2890.0
19,20,2805.2
19,21,2734.9
19,22,2645.1
19,23,2508.3
19,24,2386.1
20,1,2267.0
20,2,2159.2
20,3,2102.9
20,4,2054.4
20,5,2089.7
20,6,2166.9
20,7,2201.2
20,8,2303.9
20,9,2544.2
20,10,2784.7
20,11,2894.4
20,12,2911.0
20,13,2896.4
20,14,2814.0
20,15,2837.1
20,16,2846.1
20,17,2974.5
20,18,3068.0
20,19,3068.1
20,20,2902.7
20,21,2818.9
20,22,2675.2
20,23,2489.8
20,24,2348.1
21,1,2219.8
21,2,2109.6
21,3,2063.5
21,4,1982.7
21,5,1992.4
21,6,2040.1
21,7,2084.1
21,8,2140.7
21,9,2317.2
21,10,2664.4
21,11,2748.8
21,12,2843.5
21,13,2811.2
21,14,2751.0
21,15,2774.3
21,16,2803.7
21,17,2946.9
21,18,3074.9
21,19,3102.6
21,20,3026.3
21,21,2959.3
21,22,2853.1
21,23,2647.1
21,24,2349.6
22,1,2061.1
22,2,1909.3
22,3,1920.2
22,4,1905.9
22,5,1929.4
22,6,2005.6
22,7,2292.7
22,8,2572.4
22,9,2469.9
22,10,2406.6
22,11,2310.4
22,12,2269.6
22,13,2205.0
22,14,2280.1
22,15,2289.9
22,16,2429.8
22,17,2813.7
22,18,2986.2
22,19,2974.3
22,20,2927.2
22,21,2968.4
22,22,2913.1
22,23,2748.8
22,24,2422.1
23,1,2169.7
23,2,2043.2
23,3,2002.6
23,4,1979.3
23,5,2031.8
23,6,2094.7
23,7,2447.9
23,8,2720.8
23,9,2557.1
23,10,2518.9
23,11,2449.2
23,12,2373.9
23,13,2308.1
23,14,2337.3
23,15,2462.7
23,16,2637.3
23,17,2916.0
23,18,3136.7
23,19,3085.8
23,20,3031.3
23,21,3124.8
23,22,3028.3
23,23,2856.0
23,24,2517.3
24,1,2142.4
24,2,2038.8
24,3,2014.2
24,4,2021.0
24,5,2051.2
24,6,2168.0
24,7,2506.4
24,8,2787.3
24,9,2711.2
24,10,2647.5
24,11,2539.8
24,12,2451.9
24,13,2351.8
24,14,2389.0
24,15,2475.6
24,16,2548.5
24,17,2850.9
24,18,3106.5
24,19,3073.4
24,20,3064.9
24,21,3011.4
24,22,2996.0
24,23,2864.7
24,24,2524.9
25,1,2269.6
25,2,2080.7
25,3,2088.3
25,4,2049.7
25,5,2080.4
25,6,2189.8
25,7,2511.0
25,8,2840.6
25,9,2689.6
25,10,2606.5
25,11,2497.7
25,12,2442.8
25,13,2452.1
25,14,2459.3
25,15,2590.6
25,16,2672.4
25,17,2981.0
25,18,3140.3
25,19,3136.0
25,20,3167.4
25,21,3181.5
25,22,3160.6
25,23,2966.9
25,24,2635.3
26,1,2426.4
26,2,2224.6
26,3,2162.4
26,4,2122.3
26,5,2170.0
26,6,2234.0
26,7,2483.9
26,8,2839.7
26,9,2723.3
26,10,2631.5
26,11,2541.7
26,12,2544.4
26,13,2575.5
26,14,2521.8
26,15,2556.0
26,16,2669.9
26,17,2902.9
26,18,3017.4
26,19,3041.6
26,20,2986.4
26,21,2846.8
26,22,2704.1
26,23,2522.6
26,24,2348.5
27,1,2166.0
27,2,2044.8
27,3,2004.3
27,4,1993.6
27,5,1974.3
27,6,2011.4
27,7,2078.9
27,8,2172.6
27,9,2389.1
27,10,2607.3
27,11,2704.9
27,12,2708.5
27,13,2639.2
27,14,2634.7
27,15,2590.7
27,16,2653.1
27,17,2731.9
27,18,2863.7
27,19,3004.4
27,20,2836.3
27,21,2762.2
27,22,2606.3
27,23,2481.5
27,24,2298.7
28,1,2119.3
28,2,2036.1
28,3,1977.7
28,4,1959.5
28,5,1999.6
28,6,2084.7
28,7,2141.0
28,8,2235.7
28,9,2463.8
28,10,2672.2
28,11,2813.3
28,12,2870.3
28,13,2758.9
28,14,2610.0
28,15,2568.1
28,16,2626.5
28,17,2844.1
28,18,3086.3
28,19,3097.9
28,20,3142.0
28,21,3123.8
28,22,3036.9
28,23,2825.1
28,24,2565.0
29,1,2358.7
29,2,2218.6
29,3,2231.7
29,4,2250.8
29,5,2283.8
29,6,2374.1
29,7,2714.4
29,8,3086.0
29,9,2981.3
29,10,2788.5
29,11,2694.9
29,12,2565.6
29,13,2525.2
29,14,2501.3
29,15,2579.2
29,16,2732.6
29,17,3138.8
29,18,3320.3
29,19,3275.9
29,20,3255.0
29,21,3272.2
29,22,3216.4
29,23,2969.0
29,24,2679.4
30,1,2416.2
30,2,2278.3
30,3,2219.6
30,4,2239.8
30,5,2260.7
30,6,2356.7
30,7,2704.1
30,8,3009.1
30,9,2859.0
30,10,2755.8
30,11,2696.4
30,12,2591.9
30,13,2488.1
30,14,2367.7
30,15,2380.8
30,16,2476.8
